recipename,instructions,cuisine,course_type,dietary_preference
Capellini Pomodoro,"[""*I often use Polaner ready to use chopped garlic and basil when fresh is not available.""]",italian,main,vegetarian
Banana Bread,"[""Mix in order given. Bake at 350\u00b0 for 1 hour.""]",american,dessert,omnivorous
Easy Olive Spread,"[""Mix cream cheese product and olives."", ""Refrigerate 1 hour.""]",greek,side,omnivorous
Raisin-Oatmeal Cookies,"[""Preheat oven to 375\u00b0."", ""Sift together flour, baking soda, salt and cinnamon."", ""Stir in the oats."", ""Combine egg whites, brown sugar, oil, milk, vanilla and raisins and add to flour mixture."", ""Mix well.""]",american,dessert,vegetarian
Meat Loaf Magnifico,"[""In a large bowl, thoroughly mix 1/2 cup of the Prego sauce, beef, bread crumbs, onion and egg."", ""In 12 x 8-inch baking pan, firmly shape meat into 8 x 4-inch loaf."", ""Bake at 350\u00b0 for 1 1/4 hours or until done.""]",american,main,omnivorous
Butterscotch–Potato Chip Balls ,"[""Preheat the oven to 350\u00b0F [180\u00b0C]. Line a rimmed baking sheet with parchment paper."", ""In a medium bowl, combine the flour, baking soda, and salt and whisk together. Add the butterscotch chips and set aside. In the bowl of a stand mixer fitted with the paddle attachment, cream the melted butter and sugars on medium-high speed until thick, light, and glossy, 3 to 5 minutes, scraping the bowl with a rubber spatula as needed."", ""Decrease the mixer speed to medium-low and add the egg and yolk, one at a time, beating well and scraping the bowl after each addition with a rubber spatula. Add the vanilla and mix to combine. Add the dry ingredients all at once, mixing just to combine. Remove the bowl from the stand mixer and add 3 cups [105 g] of the potato chips to the dough, combining and crushing the chips with a rubber spatula."", ""In a small bowl, crush the remaining 2 cups [70 g] potato chips. Scoop the dough into 1 1/2-tablespoon balls with a cookie scoop or measuring spoon, rolling each ball in the leftover crushed chips, and evenly place 12 on the prepared baking sheet."", ""Sprinkle each cookie with flaky sea salt, and bake for 8 to 10 minutes, rotating at the halfway point, until lightly browned. Remove from the oven and press down on each cookie with a spatula to slightly flatten."", ""Repeat with the remaining cookie dough."", ""Let cool briefly and serve warm, because who doesn't love a cookie warm from the oven? The cookies will keep in an airtight container on the counter for up to 3 days.""]",american,dessert,omnivorous
Roasted Chicken Au Jus With Cheddar Broccoli Rice,"[""Preheat oven to 425\u00b0. Arrange chicken in broiler pan without the rack; brush with Soup Mix combined with olive oil."", ""Roast chicken, basting occasionally, 40 minutes or until chicken is thoroughly cooked."", ""Remove chicken to serving platter. Add hot water to pan and stir, scraping brown bits from bottom of pan. Serve sauce over chicken with hot Knorr(R) Rice SidesTM - Cheddar Broccoli.""]",american,main,omnivorous
Quiche With Red Peppers and Spinach,"[""Preheat oven to 350 degrees."", ""Heat oil over medium heat in a large, heavy skillet and add onion."", ""Cook, stirring, until tender, about 5 minutes, and add a generous pinch of salt, the garlic, peppers and thyme."", ""Cook, stirring often, for 5 minutes, then turn the heat to medium low and continue to cook for 5 to 10 minutes more, until peppers are very tender and sweet."", ""Turn up heat to medium-high and, a handful at a time, add spinach and stir until each handful wilts."", ""If there is liquid remaining in the pan turn up the heat and stir while you let it cook off."", ""Remove from heat and transfer to a bowl."", ""If you are making filling a day ahead, refrigerate uncovered."", ""Beat together egg yolks and eggs in a medium bowl."", ""Set tart pan on a baking sheet for easy handling."", ""Using a pastry brush, lightly brush bottom of the crust with some of the beaten egg and place in oven for 5 minutes."", ""Add salt (I use 1/2 teaspoon), pepper, and milk to the remaining eggs and whisk together."", ""Spread pepper and spinach mixture in an even layer in the crust."", ""Stir together cheeses and sprinkle in an even layer on top."", ""Very slowly pour in the egg custard over the filling."", ""If your tart pan has low edges, you may not need all of it to fill the shell, and you want to avoid the custard spilling over."", ""Place quiche, on baking sheet, in the oven and bake for 30 to 35 minutes, until set and just beginning to color on the top."", ""Remove from oven and allow to sit for at least 10 minutes before serving."", ""Serve hot, warm or room temperature.""]",french,main,vegetarian
Banana Crunch Cake,"[""Blend eggs, sour cream, bananas and yellow cake mix for 2 minutes."", ""In a separate bowl, mix oleo, frosting and rolled oats together for the filling.""]",american,dessert,omnivorous
Chinese Spicy Eggplant With Ground Pork,"[""Heat wok and add 2 tablespoons oil"", ""Add pork and stir fry for 2 minutes"", ""Add eggplant and all remaining ingredients except sesame oil"", ""Cover wok, bring to boil and simmer until eggplant is tender"", ""Transfer to serving dish and sprinkle chopped green onions on top""]",chinese,main,omnivorous
Fat Chocolate Cake,"[""Cream butter, sugar, eggs and vanilla in a large bowl. Sift together flour, soda and cocoa. Alternate adding dry ingredients into creamed mixture with water. Bake in a 13x9 inch pan at 350F for 45 minutes.""]",american,dessert,omnivorous
Orange-Spiced Pecans,"[""Place pecans on an ungreased 15x10x1-in. baking pan. Bake at 275\u00b0 for 10 minutes."", ""After 6 minutes, in a small heavy saucepan, combine the sugar, orange juice, cinnamon, cloves and salt. Cook and stir until mixture comes to a boil. Cook and stir 2 minutes longer. Remove from the heat."", ""Stir in warm pecans until evenly coated. Spread in a single layer on a foil-lined 15x10x1-in. baking pan. Cool.""]",american,side,vegetarian
Matcha Tea Apple Tart,"[""Sift together the quinoa and 0 flour."", ""Put the combined flour in a very large pan, and place it all on low heat, stirring occasionally with a wooden spoon."", ""When flour starts to become very hot, stir more often. Be very careful to not let it get too hot which will give the flour a very acrid smell. Let roast just until the flour takes on a golden color and a heavenly scent, then remove from heat, pour into a glass bowl and let cool to room temperature WITHOUT COVER."", ""Once cool, add the flour, powdered sugar, Matcha powder and cold butter pieces."", ""With your fingertips work the dough trying to mix the ingredients."", ""At this point add the egg yolks and a tablespoon of milk (if you see that the crust needs it) and mix quickly."", ""Once mixed well, and you are able to create a ball, wrap in plastic wrap and refrigerate for at least two hours (ideally, you would do this the day before)"", ""Remove the dough from the refrigeratore and let it rest."", ""Roll the dough, and lay into a tart mold greased and floured or lined with parchment paper."", ""Pierce the dough a few times with the tines of a fork."", ""Add finely chopped hazelnuts to the mixer with the sugar. Add the egg whites and honey.\nPour the mixture into the pastry shell."", ""Peel the apples, remove the core and cut into thin slices. Place them on the hazelnut mixture and glaze them with another teaspoon of melted honey with one teaspoon of hot water."", ""Add a few dried blueberries on top of the cake and bake at 180 degrees for about 45 minutes.""]",japanese,dessert,vegetarian
Grilled Chicken with Spicy Ginger Vinaigrette,"[""Coat a stove-top grill pan or griddle with cooking spray and set over medium-high heat to preheat."", ""Season both sides of chicken with salt and black pepper."", ""Place chicken on hot pan and cook 3 to 5 minutes per side, until cooked through."", ""In a small bowl, whisk together rice wine, vegetable oil, wasabi paste, hot mustard, and ginger."", ""Set aside."", ""Heat sesame oil in a large skillet over medium-high heat."", ""Add slaw mix and soy sauce and cook 2 to 3 minutes, until wilted."", ""Arrange wonton wrappers on a flat surface."", ""Top each wrapper with 1 heaping teaspoon of slaw mixture."", ""Pull up sides and pinch the middle together, making a purse."", ""Heat peanut oil in a large skillet over medium-high heat."", ""Add purses and cook 1 minute, until bottom is golden brown."", ""Add broth and bring to a simmer."", ""Cover and steam 3 to 5 minutes, until purses are tender and translucent."", ""Serve 4 of the chicken breast halves with all of the vinaigrette spooned over top and all of the beggar's purses on the side."", ""Reserve remaining chicken for stroganoff, if desired.""]",american,main,omnivorous
Onion Pie,"[""Combine crumbs and melted butter."", ""Press into an 8-inch pie pan."", ""Bake at 350\u00b0 for 8 minutes."", ""Saute onions in oil until tender; arrange into pie shell."", ""Mix eggs, milk, salt and pepper; pour over onions."", ""Top with Cheddar."", ""Bake at 350\u00b0 for 45 minutes.""]",american,side,omnivorous
Cora'S Coconut Cream Pie,"[""Mix well and press in large square or oblong dish."", ""Bake at 350\u00b0 for 20 minutes."", ""Cool completely.""]",american,dessert,vegetarian
Goulash,"[""Heat ground beef and onion in skillet; drain."", ""Cook macaroni; drain and rinse with cold water."", ""Combine all ingredients in a large, ovenproof dish and stir, using enough ketchup to mix, but not soupy."", ""Parmesan cheese may be sprinkled on top."", ""Bake at 350\u00b0 until mixture is hot and begins to bubble.""]",hungarian,main,omnivorous
Egg Mcbrandon,"[""Butter or grease a skillet and place it on a medium-high heat stove."", ""Toast 2 pieces of bread or English muffin in a toaster. Cook an egg over-medium in the skillet and remember to break the yolk."", ""When the bread is done, put as much mayonnaise as makes you happy on the bread."", ""When the egg is done, place a piece of cheese on top, turn off the heat and place it on one piece of the toast. Place the other on top."", ""If you would rather have the bacon or ham McBrandon, cook some bacon or ham and place that on before you put the top piece of toast on.""]",american,main,omnivorous
Quiche,"[""Melt butter; saute onions."", ""Place ham, onion, grated cheese, pimento and chives in pie crust; slightly mix."", ""Stir eggs, milk, seasoning and flour until smooth."", ""Pour into pie shell."", ""Bake at 400\u00b0 for 20 to 30 minutes.""]",french,main,omnivorous
Pecan Pie,"[""Preheat oven to 350 degrees."", ""In large bowl, stir first five ingredients until well blended."", ""Pour into pie crust and bake 50 to 55 minutes.""]",american,dessert,omnivorous
Royal Jelly Face Tightner,"[""Combine the ingredients in a glass jar."", ""Stir to blend."", ""Pat onto your skin and let dry. Keep the remainder in the refrigerator.""]",russian,beverage,vegan
Smoked Salmon with Cognac Caraway Mayonnaise and Toasted French Bread,"[""With a mortar and pestle or in an electric spice grinder grind caraway seeds fine and in a small bowl stir together with mayonnaise, sour cream, dill, and Cognac."", ""Arrange salmon on a cutting board or platter and garnish with dill sprigs and lemon wedges."", ""Serve salmon, sliced thin, with mayonnaise and French bread.""]",european,starter,omnivorous
